Article No.,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
1,Study of Virtual Reality Immersive Technology Enhanced Mathematics Geometry Learning,2022,3,"virtual reality technologies, mathematics learning aids, geometry education, immersive learning, emerging technologies",7,FRONTIERS IN PSYCHOLOGY,"Mathematics is an important foundation for the development of science education. In the past, when instructors taught mathematical concepts of geometry shapes, they usually used traditional textbooks and aids to conduct teaching activities, which resulted in students not being able to understand the principles completely. Nowadays, it has become a trend to integrate emerging technologies into mathematics courses and to use digital instructional aids. Emerging technologies can effectively enhance students' sensory experience while strengthening their impressions and understandings of subject concepts. In this paper, we apply virtual reality immersive technologies to develop a ""virtual reality immersive learning mathematics geometry system,"" which is used to teach mathematical geometry concepts. Teachers use the system to develop three basic mathematical geometry learning materials: ""Triangular pyramid volume = 1/3 prism volume,"" ""Cone volume calculation,"" and ""Triangle center of gravity derivation."" In the experimental activity, the teacher uses virtual reality teaching aids to guide students to learn mathematical geometry concepts in a fun way so that they can achieve the effectiveness of immersive learning. This study explores the impact of using the virtual reality immersive learning mathematics geometry system on students' technology acceptance, learning motivations, and learning performance. The experimental result showed that using the virtual reality immersive learning mathematics geometry system can improve the learning motivation and learning performance of students. The findings indicated that the experimental group had better learning outcomes after completing the learning tasks of three geometric units. The experimental group used the virtual reality immersive learning mathematics geometry system which can lead to better learning outcomes. According to the ARCS questionnaire, students in the experimental group were confident to understand new subjects. At the same time, the mode of completing the game can effectively give students a sense of accomplishment. The use of emerging technologies in the classroom can be an attractive learning mode for students.",Journal
2,Factors Influencing Nursing Students' Immersive Virtual Reality Media Technology-Based Learning,2021,2,virtual reality; learning; immersive media technology; teaching method; students,3,SENSORS,"Background/objectives: This study aims to identify the effects of cognitive and emotional variables related to immersive virtual reality media technology on learning for nursing students. Methods/Statistical analysis: The subjects of this study were 121 nursing students from a university in area D. After experiential learning with virtual reality from 6-8 June 2019, data was collected through questionnaires. For virtual reality learning, VIVE's hTC VIVE ECO CE model was used. The collected data was analyzed using the IBM SPSS 26.0 program. Multiple Regression Analysis was used to analyze the factors influencing the subject's virtual reality learning effects. Findings: The learning effects of the virtual reality medium had a statistically significant positive correlation with the virtual reality technology recognition, sensory immersion, realism, learning satisfaction, learning necessity, and continuous use intention (p < 0.001) scores. In personality traits, only Openness, Extraversion (p < 0.01), and Conscientiousness (p < 0.05) had a statistically significant positive correlation. As a result of regression analysis, the explanatory power of the learning effect of the virtual reality medium was 63.9% (F = 53.61, p < 0.001), with learning satisfaction, sensory immersion, continuous use intention, and Extraversion being significant influencing factors (p < 0.05). Improvements/Applications: This study is meaningful in the sense that it provided strategic implications for the teaching and learning method of virtual reality technology-based learning by considering the insights necessary to develop a learning program using virtual reality technology, according to the characteristics of virtual reality technology, and the learner's cognitive and psychological variables.",Journal
3,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
4,Digital Learning Across Boundaries (DLAB): Immersive technologies supporting changemaking in an international context,2021,4,Digital literacy; Changing society; Social dynamics; Social progress; Educational technology,3,RESEARCH IN EDUCATION AND LEARNING INNOVATION ARCHIVES-REALIA,"The Digital Learning Across Boundaries: Developing Changemakers (DLAB) project uses immersive technologies in education to explore three challenges across three years: physical, personal and environmental. This paper focuses on the first of these, bringing together the themes of digital making and changemaking to cross physical boundaries by raising awareness about physical inactivity in 11 and 12 year old school pupils. Immersive technologies such as augmented and virtual reality enabled the development of empathy and intercultural understanding among participants, fostered an understanding of changemaking, and created environments for sharing prototype exergames. Research data is analysed to seek evidence of the development of changemaker attributes and impact within a sample group of 60 English school pupils.",Journal
5,"Connecting Macroscopic, Molecular, and Symbolic Representations with Immersive Technologies in High School Chemistry: The Case of Redox Reactions",2022,3,high school/introductory chemistry; laboratory instructions; immersive technologies; electron transfer; nature of a redox reaction,0,EDUCATION SCIENCES,"Redox reaction is a difficult concept to teach and learn in chemistry courses at the secondary level. Although the significance of connecting macroscopic, molecular, and symbolic levels of representation has been emphasized in the chemistry education literature, most redox instruction involves only macroscopic and symbolic representations. To address this challenge, we designed a blended-reality immersive environment (BRE) model, which blends a traditional experiment with immersive technologies to make the molecular representations of redox reactions visible. The effectiveness of this model in supporting students' learning of redox reactions was first reported in a different article. In this paper, we further explore the features of BRE that drive learning gains. Results from six high school classes in the U.S. with 351 students indicate that integrating the molecular representation through adding the chemical bonds concept facilitates students in making connections between macroscopic and symbolic levels to promote learning. Dynamic demonstrations of electrons' interaction with particles support students' understanding of the nature of redox reactions. This study shows the promise of adopting immersive technologies to present all three representations of chemistry concepts in one learning model.",Journal
6,A Learning Experience in Inquiry-Based Physics with Immersive Virtual Reality: Student Perceptions and an Interaction Effect Between Conceptual Gains and Attitudinal Profiles,2021,3,Immersive virtual reality (VR) · Technology integration · Learning experience · Digital technologies attitudes · Scientific attitudes · Physics education,13,JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY,"The integration of immersive virtual reality (VR) in authentic science classrooms can result in a totally new learning experience for the students. However, the effect of such a learning experience on students' conceptual learning gains and their perceptions of the experience, while considering students' pre-existing science- and digital technologies-related attitudinal profiles, has not been explored to date. In this study, we have enacted a 90-min technology-enhanced inquiry-based intervention with high-school students (n = 107), on the topic of the Special Theory of Relativity in a Physics course, using a learning experience design, structured around an immersive VR simulation. Firstly, we aimed at examining students' attitudinal profiles and, secondly, at exploring the potential differences of those profiles in relation to conceptual learning gains and perceptions of the learning experience. A clustering analysis has revealed two attitudinal profiles: the low-attitudes profile (n = 48) included students with low science- and digital technologies-related attitudes, and the opposite for the high-attitudes profile (n = 59). Results from a 2 x 2 RM ANOVA indicated a statistically significant interaction between conceptual learning gains and attitudinal profiles. In addition, a one-way MANOVA test showed statistically significant differences between the two profiles in relation to students' perceptions of the learning experience, with the students of the high-attitude profile outperforming their counterparts. We discuss our findings, focusing on the implications of students' individual differences in learning and attitudes linked to the integration of immersive VR in inquiry-based instruction.",Journal
7,The Influence of Immersive Virtual Reality (IVR) on Skill Transfer of Learners: The Moderating Effects of Learning Engagement,2022,2,"Immersive virtual reality (IVR), moderating effect, skill transfer",1,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"Immersive virtual reality (IVR) is a full integration of virtual simulation and reality through computer engines and digital technologies. In particular, upon entering the field of education, IVR triggers the comprehensive reform of the education industry, realizes the interaction between virtual and real worlds, shapes a more highly immersive teaching scene, and meets the personalized needs of different learners. Thus, exploring the transfer of learning skills under IVR and traditional teaching modes is of great significance to understanding their causal relationship. Results show that training methods have significant differences in post-test scores. Immersive virtual experimental teaching plays a significant role in the skills transfer of learners, and learning engagement has a significant moderating effect in the above relationship. In this study, the results have important reference value for enriching the design of immersive teaching content, improving its design of translation, and promoting the skills transfer of learners to higher-order thinking knowledge.",Journal
8,Immersive Anatomy Atlas: Learning Factual Medical Knowledge in a Virtual Reality Environment,2022,7,gross anatomy education; anatomical atlas; virtual reality; immersive VR; active learning; knowledge retention,20,ANATOMICAL SCIENCES EDUCATION,"In order to improve learning efficiency and memory retention in medical teaching, furthering active learning seems to be an effective alternative to classical teaching. One option to make active exploration of the subject matter possible is the use of virtual reality (VR) technology. The authors developed an immersive anatomy atlas which allows users to explore human anatomical structures interactively through virtual dissection. Thirty-two senior-class students from two German high schools with no prior formal medical training were separated into two groups and tasked with answering an anatomical questionnaire. One group used traditional anatomical textbooks and the other used the immersive virtual reality atlas. The time needed to answer the questions was measured. Several weeks later, the participants answered a similar questionnaire with different anatomical questions in order to test memory retention. The VR group took significantly less time to answer the questionnaire, and participants from the VR group had significantly better results over both tests. Based on the results of this study, VR learning seems to be more efficient and to have better long-term effects for the study of anatomy. The reason for that could lie in the VR environment's high immersion, and the possibility to freely and interactively explore a realistic representation of human anatomy. Immersive VR technology offers many possibilities for medical teaching and training, especially as a support for cadaver dissection courses.",Journal
9,Impacts of Cues on Learning and Attention in Immersive 360-Degree Video: An Eye-Tracking Study,2022,5,"immersive 360-degree video, signaling, cues, learning outcome, attention allocation, eye-tracking technologies",3,FRONTIERS IN PSYCHOLOGY,"Immersive 360-degree video has become a new learning resource because of its immersive sensory experience. This study examined the effects of textual and visual cues on learning and attention in immersive 360-degree video by using eye-tracking equipment integrated in a virtual reality head-mounted display. Participants (n = 110) were randomly assigned to one of four conditions: (1) no cues, (2) textual cues in the initial field of view (FOV), (3) textual cues outside the initial FOV, and (4) textual cues outside the initial FOV + visual cues. The results showed that the cues (annotations or annotations + arrows) helped learners achieve better learning outcomes and spend more time focusing on the areas with cues. In addition, the study found a serious imbalance in the distribution of learners' attention in each region of the video. The attention directed to textual cues in the initial FOV is much higher than the attention directed to textual cues outside the initial FOV. Adding visual cues can effectively direct attention to textual cues outside the initial FOV and alleviate the imbalance of attention distribution. Consequently, adding cues to immersive 360-degree video can be an appropriate approach to promote learning and guide attention in immersive 360-degree video learning environments. This study provided new insights into the design and development of immersive 360-degree video instructional resources.",Journal
10,A Spherical Video-Based Immersive Virtual Reality Learning System to Support Landscape Architecture Students' Learning Performance during the COVID-19 Era,2021,4,spherical video-based immersive virtual reality; landscape architecture education; landscape design; VR-based teaching–learning environments; immersive virtual environments; learning system; COVID-19,18,LAND,"During the COVID-19 pandemic, campuses are closed, and many schools are forced to transition to online instruction. There are many problems in landscape architecture education during the pandemic such as students' decreased attention, poor self-regulation, low proactivity, and difficulty in grading. In addition, situational effects are required for landscape architecture education, but online education lacks the necessary case scenarios for courses during the pandemic. In order to solve these problems, the present study adopted a more accessible, and interactive spherical video-based immersive virtual reality (SV-IVR) approach, developed a landscape architecture SV-IVR learning system, and conducted a quasi-experimental study to examine its effectiveness. The results indicated that the experimental group students showed more positive results in their learning achievements, learning attitudes, and self-regulation than the control group. Besides, it was found that students required more time to develop their self-efficacy and that this system would not have an effect on students' cognitive load.",Journal
