Author Name,Author Affiliation,Country,Article No.,h-index
Yu-Sheng Su,National Taiwan Ocean University,Taiwan,1,
Hung-Wei Cheng,National Taiwan Ocean University,Taiwan,1,
Chin-Feng Lai,National Cheng Kung University,Taiwan,1,
Youngju Kim,Daejeon Health Institute of Technology,Korea,2,
Sung Yun Ahn,Pai Chai University,Korea,2,
Ayesha Boomgaard,University of the Western Cape,South Africa,3,
Kaylyn A. Fritz,University of the Western Cape,South Africa,3,
Omowunmi E. Isafiade,University of the Western Cape,South Africa,3,
Retha Christina M. Kotze,University of the Western Cape,South Africa,3,
Okobi Ekpo,University of the Western Cape,South Africa,3,
Marjorie Smith,University of the Western Cape,South Africa,3,
Tyler Gessler,University of the Western Cape,South Africa,3,
Kayleigh J. Filton,University of the Western Cape,South Africa,3,
Christiaan C. Cupido,University of the Western Cape,South Africa,3,
Bahija Aden,University of the Western Cape,South Africa,3,
Ntokozo Yokwe,University of the Western Cape,South Africa,3,
Luyanda Mayekiso,University of the Western Cape,South Africa,3,
Siyamthanda Gxowa,University of the Western Cape,South Africa,3,
Annelize Levitt,University of the Western Cape,South Africa,3,
Lilitha Dlodlo,University of the Western Cape,South Africa,3,
Nosicelo Madushana,University of the Western Cape,South Africa,3,
Desiré Laurent de Laroche Souvestre,University of the Western Cape,South Africa,3,
Emma Whewell,University of Northampton,United Kingdom,4,
Helen Caldwell,University of Northampton,United Kingdom,4,
Beth Garrett,University of Northampton,United Kingdom,4,
Grant Malloch,University of Northampton,United Kingdom,4,
Lu Wang,Indiana University Kokomo,USA,5,
Georgia Wood Hodges,University of Georgia,USA,5,5
Juyeon Lee,University of Georgia,USA,5,
Olia E. Tsivitanidou,Cyprus University of Technology,Cyprus,6,
Yiannis Georgiou,Cyprus University of Technology,Cyprus,6,
Andri Ioannou,Cyprus University of Technology,Cyprus,6,
Peng Yang,Dalian Polytechnic University,China,7,
Zhi Liu,Kangwon National University,Korea,7,
Kilian Gloy,Carl von Ossietzky University of Oldenburg,Germany,8,
Paul Weyhe,Carl von Ossietzky University of Oldenburg,Germany,8,
Eric Nerenz,Carl von Ossietzky University of Oldenburg,Germany,8,
Maximilian Kaluschke,University of Bremen,Germany,8,
Verena Uslar,Carl von Ossietzky University of Oldenburg,Germany,8,
Gabriel Zachmann,University of Bremen,Germany,8,
Dirk Weyhe,Carl von Ossietzky University of Oldenburg,Germany,8,
Rui Liu,China West Normal University,China,9,
Xiang Xu,China West Normal University,China,9,
Hairu Yang,China West Normal University,China,9,
Zhenhua Li,China West Normal University,China,9,
Guan Huang,China West Normal University,China,9,
Wei-Long Wu,Tatung University,Taiwan,10,
Yen Hsu,Tatung University,Taiwan,10,
Qi-Fan Yang,Fujian Normal University,China,10,
Jiangjie Chen,Tatung University,Taiwan,10,4
Aldo Uriarte Portillo,Technological Institute of Culiacan,Mexico,11,2
MARIA BLANCA IBAÑEZ ESPIGA,Carlos III University of Madrid,Spain ,11,15
Ramón Zatarain Cabada,Technological Institute of Culiacan,Mexico,11,18
María-Lucía Barrón-Estrada,Technological Institute of Culiacan,Mexico,11,
Ying Ruan,Wuhan College,China,12,
Claudia repetto,Università Cattolica del Sacro Cuore,Italy,13,24
Anna Flavia Di Natale,University of Milano-Bicocca,Italy,13,4
Daniela Villani,Università Cattolica del Sacro Cuore,Italy,13,31
Stefano Triberti,University of Milan,Italy,13,
Serena Germagnoli,Università Cattolica del Sacro Cuore,Italy,13,
Giuseppe Riva,Istituto Auxologico Italiano,Italy,13,
Lesia Kondratiuk,Ivan Chernyakhovsky National Defense University of Ukraine,Ukraine,14,
Svitlana Musiichuk,National University of Food Technologies,Ukraine,14,
Nelia Zuienko,National University of Life and Environmental Sciences of Ukraine,Ukraine,14,
Yuriy Sobkov,Chernivtsi National University,Ukraine,14,
Olha Trebyk,Interregional Academy of Personnel Management,Ukraine,14,
Dmytro Yefimov,Donbas State Pedagogical University,Ukraine,14,
Xianhao Zhang,College of Binzhou University,China,15,
Yongxiu Shi,Tangshan Normal University,China,15,
Hua Bai,Xingtai University,Chian,15,
F. Jerry Reen,University College Cork,Ireland,16,
Owen Jump,University College Cork,Ireland,16,
Grace McEvoy,University College Cork,Ireland,16,
Brian P. McSharry,University College Cork,Ireland,16,
John Morgan,University College Cork,Ireland,16,
David Murphy,University College Cork,Ireland,16,
Niall O’Leary,University College Cork,Ireland,16,
Billy O’Mahony,University College Cork,Ireland,16,
Martina Scallan,University College Cork,Ireland,16,
Christine Walsh,University College Cork,Ireland,16,
Briony Supple,University College Cork,Ireland,16,
Safa Molan,The University of South Australia,Australia,17,
